,Date,Home,Away
0,2012-08-18 00:00:00,0,0
1,2012-08-20 00:00:00,1,-1
2,2012-08-18 00:00:00,1,-1
3,2012-08-19 00:00:00,1,-1
4,2012-08-18 00:00:00,1,-1
5,2012-08-18 00:00:00,-1,1
6,2012-08-18 00:00:00,0,0
7,2012-08-18 00:00:00,1,-1
8,2012-08-18 00:00:00,1,-1
9,2012-08-19 00:00:00,-1,1
10,2012-11-03 00:00:00,0,0
11,2012-11-04 00:00:00,0,0
12,2012-11-03 00:00:00,1,-1
13,2012-11-03 00:00:00,1,-1
14,2012-11-04 00:00:00,0,0
15,2012-11-03 00:00:00,-1,1
16,2012-11-03 00:00:00,0,0
17,2012-11-03 00:00:00,-1,1
18,2012-11-05 00:00:00,1,-1
19,2012-11-03 00:00:00,0,0
20,2012-11-10 00:00:00,0,0
21,2012-11-10 00:00:00,-1,1
22,2012-11-11 00:00:00,0,0
23,2012-11-10 00:00:00,1,-1
24,2012-11-11 00:00:00,1,-1
25,2012-11-11 00:00:00,-1,1
26,2012-11-10 00:00:00,0,0
27,2012-11-10 00:00:00,0,0
28,2012-11-10 00:00:00,1,-1
29,2012-11-10 00:00:00,-1,1
30,2012-11-17 00:00:00,1,-1
31,2012-11-18 00:00:00,-1,1
32,2012-11-17 00:00:00,1,-1
33,2012-11-17 00:00:00,1,-1
34,2012-11-17 00:00:00,-1,1
35,2012-11-17 00:00:00,1,-1
36,2012-11-17 00:00:00,-1,1
37,2012-11-17 00:00:00,1,-1
38,2012-11-17 00:00:00,1,-1
39,2012-11-19 00:00:00,0,0
40,2012-11-24 00:00:00,0,0
41,2012-11-25 00:00:00,0,0
42,2012-11-24 00:00:00,0,0
43,2012-11-24 00:00:00,1,-1
44,2012-11-25 00:00:00,1,-1
45,2012-11-24 00:00:00,1,-1
46,2012-11-24 00:00:00,-1,1
47,2012-11-25 00:00:00,0,0
48,2012-11-25 00:00:00,1,-1
49,2012-11-24 00:00:00,1,-1
50,2012-11-27 00:00:00,1,-1
51,2012-11-28 00:00:00,1,-1
52,2012-11-28 00:00:00,0,0
53,2012-11-28 00:00:00,1,-1
54,2012-11-27 00:00:00,0,0
55,2012-11-28 00:00:00,1,-1
56,2012-11-28 00:00:00,1,-1
57,2012-11-28 00:00:00,-1,1
58,2012-11-28 00:00:00,0,0
59,2012-11-28 00:00:00,0,0
60,2012-12-01 00:00:00,-1,1
61,2012-12-01 00:00:00,-1,1
62,2012-12-01 00:00:00,1,-1
63,2012-12-01 00:00:00,0,0
64,2012-12-03 00:00:00,1,-1
65,2012-12-02 00:00:00,1,-1
66,2012-12-01 00:00:00,0,0
67,2012-12-01 00:00:00,-1,1
68,2012-12-01 00:00:00,-1,1
69,2012-12-01 00:00:00,1,-1
70,2012-12-08 00:00:00,1,-1
71,2012-12-08 00:00:00,0,0
72,2012-12-09 00:00:00,1,-1
73,2012-12-10 00:00:00,1,-1
74,2012-12-09 00:00:00,-1,1
75,2012-12-08 00:00:00,1,-1
76,2012-12-08 00:00:00,-1,1
77,2012-12-08 00:00:00,-1,1
78,2012-12-09 00:00:00,-1,1
79,2012-12-08 00:00:00,0,0
80,2013-01-16 00:00:00,0,0
81,2012-12-15 00:00:00,-1,1
82,2012-12-15 00:00:00,1,-1
83,2012-12-15 00:00:00,-1,1
84,2012-12-15 00:00:00,1,-1
85,2012-12-15 00:00:00,1,-1
86,2012-12-17 00:00:00,-1,1
87,2012-12-15 00:00:00,0,0
88,2012-12-16 00:00:00,1,-1
89,2012-12-16 00:00:00,0,0
90,2012-12-23 00:00:00,1,-1
91,2012-12-22 00:00:00,1,-1
92,2012-12-22 00:00:00,1,-1
93,2012-12-22 00:00:00,1,-1
94,2012-12-22 00:00:00,-1,1
95,2012-12-23 00:00:00,0,0
96,2012-12-22 00:00:00,0,0
97,2012-12-22 00:00:00,1,-1
98,2012-12-22 00:00:00,-1,1
99,2012-12-22 00:00:00,-1,1
100,2013-01-23 00:00:00,1,-1
101,2012-12-26 00:00:00,-1,1
102,2012-12-26 00:00:00,1,-1
103,2012-12-26 00:00:00,0,0
104,2012-12-26 00:00:00,1,-1
105,2012-12-26 00:00:00,-1,1
106,2012-12-26 00:00:00,-1,1
107,2012-12-26 00:00:00,0,0
108,2012-12-26 00:00:00,1,-1
